代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,股價,董監持股,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,股價_Test,董監持股_Test,符合數量,正負樣本
1449,佳和,-7.07,-0.34,7.13,0,13.7,6.82,0,0,0,0,1,0,1,-1
1451,年興,1.03,0.34,6.65,5.18,25.5,18.57,0,1,0,1,1,1,4,0
1453,大將,6.38,0.84,-3.3,0,20.4,18.39,0,1,0,0,1,1,3,0
1454,台富,0.51,0.06,7.41,2.04,13.25,8.24,0,1,0,0,1,0,2,-1
1455,集盛,2.9,0.38,4.09,3.88,10.3,22.06,0,1,0,0,1,1,3,0
1456,怡華,8.39,1.28,19.49,1.81,16.55,47.63,0,1,0,0,1,1,3,0
1459,聯發,1.33,0.06,-0.07,3,9.32,14.96,0,1,0,0,1,1,3,0
1463,強盛,9.71,1.33,28.09,8.09,14.1,13.56,0,1,1,1,1,1,5,1
1464,得力,4.66,0.67,16.69,7.69,14.95,8.68,0,1,0,1,1,0,3,0
1465,偉全,7.99,0.43,9.22,4.23,13.25,16.74,0,1,0,0,1,1,3,0
1466,聚隆,0.14,0.02,9.06,6.9,11.45,19.78,0,1,0,1,1,1,4,0
1467,南緯,-1.46,-0.16,20.02,3.39,11.8,46.04,0,0,1,0,1,1,3,0
1470,大統新創,5.55,0.62,21.86,3.04,19.1,21.51,0,1,1,0,1,1,4,0
1471,首利,-11.2,-0.86,-1.29,0,9,13.19,0,0,0,0,1,1,2,-1
1472,三洋實業,-29.36,-2.26,7.4,0,25,12.17,0,0,0,0,1,1,2,-1
1473,台南,-1.86,-0.33,12.8,1.71,21.05,21.29,0,0,0,0,1,1,2,-1
1474,弘裕,5.07,0.81,12.63,4,12,13.54,0,1,0,0,1,1,3,0
1476,儒鴻,24.1,15.41,28.06,2.32,469.5,16.19,1,1,1,0,0,1,4,0
1477,聚陽,19.55,8.52,20.83,3.6,198,9.86,1,1,1,0,0,0,3,0
1503,士電,6.69,2.97,18.56,2.51,62.1,26.69,0,1,0,0,1,1,3,0
1504,東元,6.14,1.8,23.94,3.6,29.15,8.06,0,1,1,0,1,0,3,0
1506,正道,-16.45,-1.1,8.88,0,16.3,32.81,0,0,0,0,1,1,2,-1
1512,瑞利,-71.55,-1.47,3.53,6.12,3.27,20.81,0,0,0,1,1,1,3,0
1513,中興電,11.32,2.37,18.75,2.45,66.9,9.97,1,1,0,0,1,0,3,0
1514,亞力,8.45,1.24,16.51,2.15,31.2,13.27,0,1,0,0,1,1,3,0
1515,力山,23.75,4.2,18.65,7.6,33.7,11.92,1,1,0,1,1,1,5,1
1516,川飛,6.87,0.8,3.94,1.6,24.95,13.82,0,1,0,0,1,1,3,0
1517,利奇,4.34,0.61,13.63,1.48,24.4,10.6,0,1,0,0,1,1,3,0
1519,華城,7.77,1,14.05,1.99,40.25,19.04,0,1,0,0,1,1,3,0
1521,大億,15.18,3.73,15.33,8.48,35.15,32.55,1,1,0,1,1,1,5,1
1522,堤維西,7.37,1.56,21.12,3.69,29.3,8.34,0,1,1,0,1,0,3,0
1524,耿鼎,5.5,0.69,18.78,1.41,26.3,25.19,0,1,0,0,1,1,3,0
1525,江申,9.52,5.21,9.16,3.38,62.1,77.84,0,1,0,0,1,1,3,0
1526,日馳,16.22,2.82,25.68,2.47,58.3,28,1,1,1,0,1,1,5,1
1527,鑽全,14.53,3.88,26.9,5.46,41.55,14.44,1,1,1,1,1,1,6,1
1528,恩德,-0.13,-0.02,26.65,1.83,10.95,10.03,0,0,1,0,1,1,3,0
1529,樂士,7.89,0.61,20.35,1.61,17.4,22.23,0,1,1,0,1,1,4,0
1530,亞崴,8.65,2.36,18.49,5.42,32.3,59.07,0,1,0,1,1,1,4,0
1531,高林股,2.28,0.47,18.67,3.38,14.2,23.56,0,1,0,0,1,1,3,0
1532,勤美,8.01,2.47,25.18,5.63,29.3,19.95,0,1,1,1,1,1,5,1
1533,車王電,3.66,1.53,32.38,0.72,58.6,33.32,0,1,1,0,1,1,4,0
1535,中宇,6.63,1.64,6.39,3.35,44.75,60.46,0,1,0,0,1,1,3,0
1536,和大,11.84,2.91,28.19,2.61,89.5,12.09,1,1,1,0,0,1,4,0
1537,廣隆,22.77,10.74,22.37,6.6,141,16.88,1,1,1,1,0,1,5,1
1539,巨庭,8.88,1.68,10.71,3.01,37.2,15.01,0,1,0,0,1,1,3,0
1540,喬福,3.83,0.64,22.37,5.1,15.3,20.89,0,1,1,1,1,1,5,1
1541,錩泰,17.38,3.1,16.15,6.33,35.7,31.97,1,1,0,1,1,1,5,1
1558,伸興,14.84,11.51,24.88,7.23,128,10.58,1,1,1,1,0,1,5,1
1560,中砂,14.61,4.47,30.69,2.12,145.5,14.91,1,1,1,0,0,1,4,0
1568,倉佑,4.54,0.69,12.8,1.76,29,18.91,0,1,0,0,1,1,3,0
1582,信錦,13.49,5.75,22.93,7.87,66.8,12.79,1,1,1,1,1,1,6,1
1587,吉茂,5.4,1.01,22.96,2.65,26.8,28.48,0,1,1,0,1,1,4,0
1589,永冠-KY,2.05,1.62,18.96,2.75,53.9,11.11,0,1,0,0,1,1,3,0
1590,亞德客-KY,20.7,21.36,49,1.02,772,4.05,1,1,1,0,0,0,3,0
1597,直得,15.27,3.78,43.35,1.62,73.9,14.1,1,1,1,0,1,1,5,1
1598,岱宇,11.06,3.36,32.34,5.74,41.65,8.8,1,1,1,1,1,0,5,1
1603,華電,4.83,1.58,13.01,2.16,27.8,12.55,0,1,0,0,1,1,3,0
1604,聲寶,14.42,2.71,18.22,6.01,27.6,5.5,1,1,0,1,1,0,4,0
1608,華榮,6.86,1.1,5.16,6.14,14,33.58,0,1,0,1,1,1,4,0
1609,大亞,10.01,1.25,8.46,1.65,20.05,5.53,1,1,0,0,1,0,3,0
1611,中電,7.58,0.95,24.64,3.99,16.3,6.14,0,1,1,0,1,0,3,0
1612,宏泰,12.62,2.37,9.3,6.73,15.75,12.41,1,1,0,1,1,1,5,1
1614,三洋電,5.27,1.07,20.08,2.58,35.6,33.38,0,1,1,0,1,1,4,0
1615,大山,14.56,2.24,13.05,4.24,30.4,16.67,1,1,0,0,1,1,4,0
1616,億泰,-0.69,-0.06,5.43,0,8.1,10.44,0,0,0,0,1,1,2,-1
1617,榮星,8.87,1.08,13.25,4.33,15.25,46.1,0,1,0,0,1,1,3,0
1618,合機,2.86,0.53,8.77,2.63,12.95,35.37,0,1,0,0,1,1,3,0
1626,艾美特-KY,0.68,0.19,16.38,5.23,19.3,26.18,0,1,0,1,1,1,4,0
1701,中化,6.94,1.44,35.65,3.61,22.7,17.61,0,1,1,0,1,1,4,0
1702,南僑,15.7,4.03,33.25,5.07,45.75,17.62,1,1,1,1,1,1,6,1
1707,葡萄王,26.61,9.48,81.57,4.4,146.5,20.07,1,1,1,0,0,1,4,0
1708,東鹼,6.85,1.79,26.22,2.1,49.6,11.89,0,1,1,0,1,1,4,0
1709,和益,7.17,1.14,16.75,4.36,24.75,18.65,0,1,0,0,1,1,3,0
1710,東聯,4.84,0.77,8.14,5.21,18.05,10.44,0,1,0,1,1,1,4,0
1711,永光,4.41,0.66,22.02,2.09,20.1,16.1,0,1,1,0,1,1,4,0
1712,興農,10.5,1.75,27.16,2.96,45.2,14.85,1,1,1,0,1,1,5,1
1713,國化,4.6,0.71,13.16,2.61,24.95,12.98,0,1,0,0,1,1,3,0
1714,和桐,6.61,0.6,12.57,3.34,9.29,10.01,0,1,0,0,1,1,3,0
1717,長興,10.51,1.96,19.71,3.61,32.15,15.95,1,1,0,0,1,1,4,0
1720,生達,11.69,2.62,44.32,3.67,48.55,19.83,1,1,1,0,1,1,5,1
1721,三晃,4.47,0.48,7.34,1.66,16.85,9.36,0,1,0,0,1,0,2,-1
1722,台肥,4.51,2.34,21.9,3.75,61.8,24.07,0,1,1,0,1,1,4,0
1723,中碳,16.35,4.98,23.25,3.77,115,34,1,1,1,0,0,1,4,0
1725,元禎,7.25,1.32,4.71,4.01,23.2,11.45,0,1,0,0,1,1,3,0
1726,永記,9.21,4.86,25.55,4.83,71.2,21.08,0,1,1,0,1,1,4,0
1727,中華化,3.84,0.53,13.32,1.66,30.15,24.88,0,1,0,0,1,1,3,0
1730,花仙子,18.9,4.62,44.15,5.75,57,22.95,1,1,1,1,1,1,6,1
1731,美吾華,6.59,0.9,58.27,4.13,18.65,35.35,0,1,1,0,1,1,4,0
1732,毛寶,4.23,0.46,42.66,1.31,35.95,18.27,0,1,1,0,1,1,4,0
1733,五鼎,6.98,1.19,25.53,4.33,27,10.03,0,1,1,0,1,1,4,0
1734,杏輝,-4.48,-0.01,37.54,0.55,32.8,14.92,0,0,1,0,1,1,3,0
1735,日勝化,3.83,0.55,15.87,3.09,14.9,58.94,0,1,0,0,1,1,3,0
1736,喬山,5.94,1.67,47.04,1.18,67.1,62.94,0,1,1,0,1,1,4,0
1752,南光,8.19,1.75,33.91,4.08,38.7,12.77,0,1,1,0,1,1,4,0
1773,勝一,21.2,6.51,27.35,2.84,129,45.85,1,1,1,0,0,1,4,0
1776,展宇,6.4,0.88,17.1,6.23,18.15,8.75,0,1,0,1,1,0,3,0
1783,和康生,6.44,0.81,45.22,1.02,46.3,37.87,0,1,1,0,1,1,4,0
1786,科妍,7.38,1.54,67.17,2.37,46.8,13.73,0,1,1,0,1,1,4,0
1789,神隆,3.08,0.41,43.52,1.56,28.15,64.4,0,1,1,0,1,1,4,0
1802,台玻,6.39,1.08,17.92,3.84,16.65,30.09,0,1,0,0,1,1,3,0
1805,寶徠,-8.24,-0.61,14.47,0.83,12,16.43,0,0,0,0,1,1,2,-1
1806,冠軍,-1.45,-0.23,23.22,7.62,8.66,6.94,0,0,1,1,1,0,3,0
1808,潤隆,17.52,3.44,19.95,4.49,70.2,10.04,1,1,0,0,1,1,4,0
1809,中釉,-0.81,-0.09,19.01,1.72,12.2,14.19,0,0,0,0,1,1,2,-1
1810,和成,5.93,0.8,25.21,2.1,10.5,8.37,0,1,1,0,1,0,3,0
1817,凱撒衛,13.58,3.13,32.32,5.75,35.85,15.21,1,1,1,1,1,1,6,1
1903,士紙,-4.4,-0.44,33.51,0,56.1,5.85,0,0,1,0,1,0,2,-1
1904,正隆,12.44,2.74,22.08,4.96,27,12.32,1,1,1,0,1,1,5,1
1905,華紙,1.22,0.2,8.69,2.52,17.45,57.63,0,1,0,0,1,1,3,0
1906,寶隆,4.21,1.75,7.27,3.05,19.65,29.54,0,1,0,0,1,1,3,0
1907,永豐餘,7.88,1.9,18.37,4.14,23.7,5.79,0,1,0,0,1,0,2,-1
1909,榮成,7.11,1.48,16.05,5.74,15.15,36.49,0,1,0,1,1,1,4,0
2002,中鋼,7.52,1.46,11.26,3.97,29.25,20.15,0,1,0,0,1,1,3,0
2007,燁興,-4.56,-0.48,1.87,0.36,11.2,73.56,0,0,0,0,1,1,2,-1
2008,高興昌,-3.97,-0.49,2.16,0,17.05,34.45,0,0,0,0,1,1,2,-1
2009,第一銅,3.31,0.42,2.85,2.97,25.6,39.44,0,1,0,0,1,1,3,0
2010,春源,4.74,0.81,6.73,4.02,16.15,19.48,0,1,0,0,1,1,3,0
2012,春雨,11.96,1.56,16.37,3.95,23.3,29.34,1,1,0,0,1,1,4,0
2013,中鋼構,6.31,1.49,3.38,2.23,56.5,43.17,0,1,0,0,1,1,3,0
2014,中鴻,16.88,1.75,7.94,3.14,24.2,40.59,1,1,0,0,1,1,4,0
2017,官田鋼,3.83,0.61,13.62,2.99,14.05,23.02,0,1,0,0,1,1,3,0
2022,聚亨,-2.64,-0.28,7.24,0,8.22,5.67,0,0,0,0,1,0,1,-1
2023,燁輝,3.7,0.66,8.14,1.86,15.05,4.36,0,1,0,0,1,0,2,-1
2024,志聯,6.19,0.75,12.44,3.3,19.4,30.4,0,1,0,0,1,1,3,0
2025,千興,-10.03,-0.34,-4.19,0,4.65,12.82,0,0,0,0,1,1,2,-1
2027,大成鋼,12.36,2.78,20.57,3.79,39.1,6.53,1,1,1,0,1,0,4,0
2028,威致,28.03,2.22,8.86,1.89,26.5,13.22,1,1,0,0,1,1,4,0
2029,盛餘,5.22,1.49,9.82,4.05,25.65,65.76,0,1,0,0,1,1,3,0
2030,彰源,13.24,1.91,12.72,4.04,24.75,24.03,1,1,0,0,1,1,4,0
2031,新光鋼,14.71,3.67,11.13,5.26,38.8,15.28,1,1,0,1,1,1,5,1
2032,新鋼,3.75,0.49,5.59,2.26,20.35,26.16,0,1,0,0,1,1,3,0
2033,佳大,2.14,0.26,11.78,1.63,14.75,14.29,0,1,0,0,1,1,3,0
2034,允強,9.91,1.93,11.24,5.32,30.45,17.63,0,1,0,1,1,1,4,0
2038,海光,0.71,0.2,2.22,3.16,21.55,32.67,0,1,0,0,1,1,3,0
2059,川湖,14.48,15.7,52.96,1.76,450,16.59,1,1,1,0,0,1,4,0
2062,橋椿,2.65,0.89,12.86,1.11,23.35,14.93,0,1,0,0,1,1,3,0
2069,運錩,11,2.5,8.01,6.42,22.75,28.44,1,1,0,1,1,1,5,1
