代碼,股票,ROE(近五年),EPS(進五年),毛利率(進五年),現金股利,成交價,董監持股,現金殖利率,符合數量,正負樣本,,,,,,,,,,,,,,,,,,,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test
6288,聯嘉,5.36,0.7,19.59,0.56,22.8,21.2,2.46,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6289,華上,-215.93,-0.51,-108.8,0,0,0,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6405,悅城,2.07,0.65,18.65,0.82,19.6,13.61,4.18,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6409,旭隼,41.13,23.79,27.73,22.25,1395,17.77,1.59,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6412,群電,21.64,4.84,16.73,3.5,66.1,59.47,5.3,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
6414,樺漢,12.11,13.7,22.36,6.36,189,33.81,3.37,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6415,矽力*-KY,19.59,33.01,48.65,9.68,424.5,0,2.28,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
6416,瑞祺電通,15.27,4.72,19.95,3.1,91,27.48,3.41,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
6426,統新,6.55,1.89,44.26,1.9,71.8,14.41,2.65,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6431,光麗-KY,-11.05,-1.07,-16.3,1,20.6,2.72,4.85,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6438,迅得,17.58,5.54,28.33,3.75,86.6,13.82,4.33,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6442,光聖,2.5,0.75,17.44,1.41,46.5,11.77,3.03,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6443,元晶,-12.88,-1.2,0.46,0,35.3,1.3,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
