代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金股利,成交價,董監持股,現金殖利率,ROE_5YF,EPS_5YF,毛利率_5YF,現金殖利率_F,股價_F,董監持股_F,Sum,判斷
3679,新至陞,10.71,6.69,24.78,6.42,84.5,27.93,7.6,1,1,1,1,0,1,5,1
3682,亞太電,-13.93,-1.24,3.53,0.23,6.25,9.61,3.68,0,0,0,0,1,0,1,0
3686,達能,-33.07,-2.49,-66.97,0.2,0.0,0.0,0.0,0,0,0,0,1,0,1,0
3694,海華,2.18,0.26,12.03,0.6,19.4,48.28,3.09,0,1,0,0,1,1,3,0
3701,大眾控,5.18,0.39,13.13,0.0,38.2,22.25,0.0,1,1,0,0,1,1,4,1
3702,大聯大,12.57,4.02,4.15,2.82,47.2,7.04,5.97,1,1,0,1,1,0,4,1
3703,欣陸,4.14,1.19,11.37,1.02,30.2,32.77,3.38,0,1,0,0,1,1,3,0
3704,合勤控,0.13,0.02,22.56,0.37,0.0,0.0,0.0,0,1,1,0,1,0,3,0
3705,永信,10.59,2.56,44.06,2.02,39.55,15.64,5.11,1,1,1,1,1,1,6,1
3706,神達,7.73,3.07,12.88,1.36,27.45,17.13,4.95,1,1,0,0,1,1,4,1
3708,上緯投控,11.4,6.01,20.19,3.18,98.7,12.48,3.22,1,1,1,0,0,1,4,1
4104,佳醫,6.59,3.56,19.35,3.22,64.9,10.99,4.96,1,1,0,0,1,1,4,1
4106,雃博,6.11,1.21,42.68,0.6,25.0,33.7,2.4,1,1,1,0,1,1,5,1
4108,懷特,-9.87,-1.03,52.43,0.0,18.25,17.86,0.0,0,0,1,0,1,1,3,0
4119,旭富,12.59,5.02,39.53,3.37,91.3,32.31,3.69,1,1,1,0,0,1,4,1
4133,亞諾法,3.31,0.66,46.04,0.47,34.8,13.02,1.35,0,1,1,0,1,1,4,1
4137,麗豐-KY,24.74,12.42,82.6,10.72,160.0,35.31,6.7,1,1,1,1,0,1,5,1
4142,國光生,-13.38,-1.25,-13.42,0.1,35.1,17.31,0.28,0,0,0,0,1,1,2,0
4148,全宇生技-KY,11.97,3.24,27.73,1.71,60.1,0.47,2.85,1,1,1,0,1,0,4,1
4155,訊映,10.1,1.76,23.28,1.52,25.1,9.83,6.06,1,1,1,1,1,0,5,1
4164,承業醫,4.29,1.64,29.92,1.78,43.45,0.0,4.1,0,1,1,0,1,0,3,0
4190,佐登-KY,19.81,5.85,73.76,3.3,72.0,40.96,4.58,1,1,1,0,1,1,5,1
4306,炎洲,2.39,0.54,13.11,0.6,14.0,13.66,4.29,0,1,0,0,1,1,3,0
4414,如興,-10.08,-1.2,12.38,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0
4426,利勤,11.33,2.29,28.82,0.49,23.95,9.79,2.05,1,1,1,0,1,0,4,1
4438,廣越,10.86,6.97,14.71,5.09,139.0,40.26,3.66,1,1,0,0,0,1,3,0
4526,東台,-0.32,-0.12,20.72,0.4,13.95,14.29,2.87,0,0,1,0,1,1,3,0
4532,瑞智,10.3,1.96,15.45,0.97,17.4,37.11,5.57,1,1,0,1,1,1,5,1
4536,拓凱,14.5,8.04,30.45,5.1,157.0,21.36,3.25,1,1,1,0,0,1,4,1
4540,全球傳動,8.21,2.06,23.56,1.44,37.55,9.59,3.83,1,1,1,0,1,0,4,1
4545,銘鈺,2.62,0.6,21.8,0.49,27.8,70.08,1.76,0,1,1,0,1,1,4,1
4551,智伸科,18.44,6.83,28.97,4.06,164.5,12.55,2.47,1,1,1,0,0,1,4,1
4552,力達-KY,14.37,6.64,22.42,2.22,28.8,47.94,7.71,1,1,1,1,1,1,6,1
4555,氣立,5.04,1.93,37.11,1.7,50.0,29.44,3.4,1,1,1,0,1,1,5,1
4557,永新-KY,14.07,5.32,33.08,4.6,116.5,20.95,3.95,1,1,1,0,0,1,4,1
4560,強信-KY,14.34,3.21,39.33,2.55,39.85,40.05,6.4,1,1,1,1,1,1,6,1
4562,穎漢,4.84,0.8,34.1,1.2,14.8,29.25,8.11,0,1,1,1,1,1,5,1
4564,元翎,10.11,2.26,29.45,1.7,25.25,17.13,6.73,1,1,1,1,1,1,6,1
4566,時碩工業,10.39,2.78,21.91,1.68,56.8,35.7,2.96,1,1,1,0,1,1,5,1
4720,德淵,4.9,0.59,19.97,0.29,15.35,30.98,1.89,0,1,0,0,1,1,3,0
4722,國精化,12.16,2.94,17.06,1.86,34.4,18.36,5.41,1,1,0,1,1,1,5,1
4737,華廣,5.61,2.1,44.44,2.44,77.0,39.32,3.17,1,1,1,0,1,1,5,1
4739,康普,8.92,3.23,10.56,2.33,96.1,26.42,2.42,1,1,0,0,0,1,3,0
4746,台耀,5.45,2.77,34.74,1.87,49.8,11.05,3.76,1,1,1,0,1,1,5,1
4755,三福化,11.84,3.95,19.3,3.16,116.0,0.0,2.72,1,1,0,0,0,0,2,0
