代號,公司,股價
2211,長榮鋼,51.7
2221,大甲,37.95
2227,裕日車,196.0
2228,劍麟,79.5
2230,泰茂,28.05
2231,為升,149.0
2233,宇隆,101.0
2235,謚源,48.6
2236,百達-KY,25.4
2239,英利-KY,62.5
2241,艾姆勒,32.2
2243,宏旭-KY,12.5
2247,汎德永業,216.0
2250,第一化成IKKA-KY,74.7
2301,光寶科,63.4
2302,麗正,18.0
2303,聯電,43.8
2305,全友,27.3
2308,台達電,291.5
2312,金寶,14.2
2313,華通,47.75
2314,台揚,40.1
2316,楠梓電,26.15
2317,鴻海,101.0
2321,東訊,5.51
2323,中環,7.7
2324,仁寶,21.7
2327,國巨,474.0
2328,廣宇,38.3
2329,華泰電,18.2
2330,台積電,471.5
2331,精英,21.8
2332,友訊,15.05
2337,旺宏,34.75
2338,光罩,89.1
2340,台亞,35.85
2342,茂矽,40.1
2344,華邦電,20.65
2345,智邦,248.0
2347,聯強,59.0
2348,海悅,65.6
2349,錸德,8.1
2351,順德,102.5
2352,佳世達,27.75
2353,宏碁,23.0
2354,鴻準,53.7
2355,敬鵬,30.5
2356,英業達,24.7
2357,華碩,267.5
2358,廷鑫,14.3
2359,所羅門,27.05
2360,致茂,178.5
2362,藍天,31.2
2363,矽統,16.6
2364,倫飛,110.5
2365,昆盈,9.97
2367,燿華,18.35
2368,金像,95.0
2369,菱生,13.75
2371,大同,34.35
2373,震旦行,78.5
2374,佳能,21.15
2375,凱美,59.5
2376,技嘉,102.5
2377,微星,120.5
2379,瑞昱,292.5
2380,虹光,12.15
2382,廣達,72.1
2383,台光電,187.0
2385,群光,84.6
2387,精元,40.85
2388,威盛,75.0
2390,云辰,13.8
2392,正崴,37.95
2393,億光,38.0
2395,研華,325.5
2397,友通,59.0
2399,映泰,13.45
2401,凌陽,24.6
2402,毅嘉,18.9
2404,漢唐,179.0
2405,浩鑫,12.5
2406,國碩,20.0
2408,南亞科,54.8
2409,友達,15.45
2412,中華電,111.0
2413,環科,28.2
2414,精技,30.45
2415,錩新,22.6
2417,圓剛,23.3
2419,仲琦,25.8
2420,新巨,39.7
2421,建準,44.85
2423,固緯,27.15
2424,隴華,20.5
2425,承啟,28.45
2426,鼎元,17.6
2427,三商電,12.0
2428,興勤,117.5
2429,銘旺科,10.65
2430,燦坤,41.5
2431,聯昌,10.25
2433,互盛電,48.1
2434,統懋,28.75
2436,偉詮,44.15
2438,翔耀,13.5
2439,美律,80.4
2440,太空梭,12.45
2441,超豐,48.1
2442,新美齊,13.7
2443,昶虹,2.8
2444,兆勁,19.15
2449,京元電,36.1
2450,神腦,31.0
2451,創見,67.0
2453,凌群,25.15
2454,聯發科,709.0
2455,全新,70.8
2457,飛宏,39.65
2458,義隆電,89.7
2459,敦吉,52.0
2460,建通,17.35
2461,光群雷,18.8
2462,良得,27.4
2464,盟立,39.05
2465,麗台,36.55
2466,冠西電,32.7
2467,志聖,43.2
2468,華經,28.1
2471,資通,27.25
2472,立隆,56.3
2474,可成,173.0
2476,鉅祥,48.1
2477,美隆電,20.2
2478,大毅,44.7
2480,敦陽科,82.8
2481,強茂,64.6
2482,連宇,27.4
2483,百容,24.9
2484,希華,35.4
2485,兆赫,18.95
2486,一詮,22.2
2488,漢平,29.0
2489,瑞軒,9.78
2491,吉祥全,12.4
2492,華新科,81.9
2493,揚博,43.4
2495,普安,22.75
2496,卓越,47.3
2497,怡利電,79.3
2498,宏達電,58.4
2501,國建,15.6
2504,國產,25.45
2505,國揚,18.9
2506,太設,9.41
2509,全坤興,14.4
2511,太子,10.7
2514,龍邦,17.75
2515,中工,8.4
2516,新建,5.08
2520,冠德,28.9
2524,京城,33.95
2527,宏璟,21.5
2528,皇普,16.1
2530,華建,18.45
2534,宏盛,25.3
2535,達欣工,29.65
2536,宏普,22.35
2537,聯上發,7.21
2538,基泰,12.1
2539,櫻花建,32.1
2540,愛山林,71.4
2542,興富發,42.75
2543,皇昌,8.83
2545,皇翔,40.95
2546,根基,50.5
2547,日勝生,9.15
2548,華固,87.6
2596,綠意,17.25
2597,潤弘,118.0
2601,益航,9.0
2603,長榮海,155.0
2605,新興,20.1
2606,裕民,47.95
2607,榮運,27.65
2608,大榮,37.95
2609,陽明,63.2
2610,華航,19.1
2611,志信,13.4
2612,中航,36.4
2613,中櫃,23.0
2614,東森,22.75
2615,萬海,70.3
2616,山隆,32.05
2617,台航,26.65
2618,長榮航,27.75
2630,亞航,17.15
2633,高鐵,28.45
2634,漢翔,34.35
2636,台驊,72.4
2637,慧洋-KY,59.6
2640,大車隊,84.5
2641,正德,17.85
2642,宅配通,46.65
2643,捷迅,68.6
2701,萬企,12.2
2702,華園,22.95
2704,國賓,30.9
2705,六福,16.95
2706,第一店,14.2
2707,晶華,250.5
2712,悅來,32.9
2718,晶悅,34.3
2719,燦星旅,33.3
2722,夏都,34.2
2723,美食-KY,140.5
2724,富驛-KY,13.75
2726,雅茗-KY,23.45
2727,王品,163.0
2729,瓦城,203.5
2731,雄獅,101.5
2732,六角,122.0
2734,易飛網,27.0
2736,高野,22.25
2739,寒舍,29.65
2740,天蔥,49.0
2743,山富,55.7
2745,五福,38.3
2748,雲品,56.7
2752,豆府,181.5
2753,八方雲集,207.5
2754,亞洲藏壽司,137.5
2755,揚秦,82.0
2756,聯發國際,120.5
2801,彰銀,17.35
2809,京城銀,35.85
2812,台中銀,13.05
2816,旺旺保,15.7
2820,華票,14.55
2832,台產,20.4
2834,台企銀,12.9
2836,高雄銀,12.6
2838,聯邦銀,16.2
2845,遠東銀,11.2
2849,安泰銀,14.75
2850,新產,47.85
2851,中再保,18.7
2852,第一產,15.75
2855,統一證,15.75
2867,三商壽,5.79
2880,華南金,22.35
2881,富邦金,57.6
2882,國泰金,40.95
2883,開發金,12.8
2884,玉山金,24.2
2885,元大金,22.1
2886,兆豐金,30.8
2887,台新金,14.95
2888,新光金,8.64
2889,國票金,11.4
2890,永豐金,17.4
2891,中信金,22.7
2892,第一金,26.0
2897,王道銀行,8.45
2901,欣欣,23.7
2903,遠東百,20.55
2904,匯僑,19.75
