代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
9919,7.8,1.11,19.46,4.41,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2328,8.46,1.75,9.52,2.66,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2731,-1.4,0.19,13.34,4.24,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2387,7.13,2.65,13.33,3.79,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9907,5.31,0.68,10.77,2.78,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6120,-2.87,-0.41,3.06,4.18,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1402,5.81,1.95,19.83,4.62,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8222,-0.81,-0.07,11.05,2.45,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2413,-3.33,-0.43,15.14,0.86,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6139,5.02,2.07,6.96,4.61,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3518,-8.67,-2.01,18.44,4.23,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2239,8.89,6.96,17.57,4.02,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6243,-8.27,-0.47,24.89,3.05,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4142,-9.63,-0.72,-1.54,0.26,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1903,-4.4,-0.44,33.51,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6153,2.65,0.67,12.86,0.81,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5469,9.54,4.94,17.39,4.89,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5225,4.51,1.22,10.41,3.09,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4104,6.93,3.81,19.67,4.89,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1337,-11.37,-3.06,-24.86,3.47,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8046,6.79,3.72,9.75,1.26,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1714,6.61,0.6,12.57,3.34,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1735,3.83,0.55,15.87,3.09,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3054,1.85,0.22,0.01,3.71,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3058,-6.87,-0.81,11.54,2.8,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3701,5.73,0.58,12.75,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2101,4.76,0.64,18.67,1.24,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2705,-26.89,-2.66,17.77,0.25,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2486,-1.76,-0.26,11.62,3.46,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1907,7.88,1.9,18.37,4.14,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4739,8.86,3.57,11.39,1.89,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1709,7.17,1.14,16.75,4.36,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2102,-13.11,-2.1,2.03,0.61,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2610,3.9,0.44,11.95,1.92,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1535,6.63,1.64,6.39,3.35,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1414,2.34,0.33,9.5,1.74,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6405,2.07,0.65,18.65,3.74,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5484,-12.9,-1.06,16.81,2.32,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6288,5.36,0.7,19.59,2.28,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3576,-19.85,-1.97,-6.51,4.56,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4426,2.7,0.6,10.89,1.6,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6133,-0.03,0.01,18.92,1.03,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3437,-3.59,-0.72,9.77,4.64,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1618,2.86,0.53,8.77,2.63,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1539,8.88,1.68,10.71,3.01,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8926,7.86,1.6,12.35,4.35,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4306,4.41,0.88,14.0,4.24,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2369,0.54,0.05,7.75,3.69,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
