答案
1
1
1
-1
1
1
-1
1
-1
-1
-1
1
1
1
-1
-1
1
-1
1
1
1
1
1
-1
1
1
1
1
-1
-1
-1
-1
-1
1
1
1
1
-1
-1
-1
-1
-1
1
-1
1
1
1
-1
1
1
-1
1
-1
1
1
1
-1
1
-1
1
1
1
-1
-1
1
-1
1
1
-1
-1
-1
1
1
-1
-1
-1
1
-1
-1
-1
1
1
-1
1
-1
1
1
-1
1
-1
1
-1
-1
-1
1
1
-1
-1
-1
1
-1
1
-1
-1
1
1
1
1
-1
1
1
1
1
1
-1
-1
1
1
-1
1
-1
1
-1
1
-1
-1
1
1
1
1
1
1
1
-1
1
1
1
-1
1
1
1
1
1
1
1
1
1
1
1
-1
1
1
1
1
-1
-1
1
-1
-1
-1
1
-1
1
1
1
-1
1
1
-1
-1
1
1
-1
-1
-1
1
1
1
1
-1
-1
-1
-1
-1
-1
-1
