代碼,股票,股價,ROE_5Y,EPS_5Y,毛利率5Y,現金殖利率,答案
9919,康那香,17.65,7.8,1.11,19.46,4.41,-1
2441,超豐,48.1,16.45,4.94,27.33,5.59,1
1590,亞德客-KY,943.0,20.7,21.36,49.0,1.02,1
2233,宇隆,101.0,14.97,7.08,35.72,3.74,1
8112,至上,36.4,21.82,4.49,2.85,8.58,1
2913,農林,23.05,-0.96,-0.17,38.11,2.36,-1
2477,美隆電,20.2,14.55,2.75,21.4,6.41,1
4536,拓凱,193.0,14.47,8.16,30.88,2.92,1
5007,三星,51.5,14.77,3.16,22.8,4.94,1
1301,台塑,86.3,13.01,7.15,18.26,6.0,1
3653,健策,384.0,11.97,6.08,28.25,1.17,1
1449,佳和,15.95,-7.07,-0.34,7.13,0.0,-1
1213,大飲,7.49,-9.02,-0.89,4.96,0.0,-1
8499,鼎炫-KY,102.0,24.11,9.93,49.13,5.72,1
6756,威鋒電子,205.5,23.7,5.31,50.18,1.79,1
2528,皇普,16.1,-2.7,-0.24,25.89,0.99,-1
1526,日馳,44.0,16.22,2.82,25.68,2.47,1
1220,台榮,15.25,5.92,0.74,13.71,4.44,-1
2408,南亞科,54.8,17.74,8.06,40.15,6.69,1
2206,三陽工業,36.25,9.65,1.86,18.01,3.1,-1
1904,正隆,27.8,12.44,2.74,22.08,4.96,1
8072,陞泰,28.15,-0.63,-0.28,15.1,1.42,-1
3622,洋華,28.65,3.27,0.94,16.44,2.73,-1
2707,晶華,250.5,33.93,10.4,31.2,4.36,1
3501,維熹,51.5,8.78,4.27,25.36,6.35,1
3665,貿聯-KY,261.5,16.11,13.46,23.75,2.69,1
4148,全宇生技-KY,60.2,10.05,3.0,26.79,2.34,1
1582,信錦,58.4,13.49,5.75,22.93,7.87,1
6582,申豐,58.7,28.1,12.43,36.78,11.64,1
2904,匯僑,19.75,11.82,1.68,41.99,7.2,1
1805,寶徠,10.65,-8.24,-0.61,14.47,0.83,-1
6206,飛捷,66.4,15.15,4.94,32.33,5.62,1
6525,捷敏-KY,71.3,20.71,5.92,31.56,5.29,1
5222,全訊,140.5,19.77,3.06,50.71,1.18,1
8443,阿瘦,11.05,-8.5,-1.63,53.68,2.29,-1
2496,卓越,47.3,12.49,5.46,47.5,8.46,1
8466,美吉吉-KY,41.4,12.05,4.71,23.44,7.65,1
2474,可成,173.0,12.73,23.65,33.87,6.65,1
2308,台達電,291.5,14.87,8.62,28.26,1.94,1
3338,泰碩,33.45,11.82,2.08,20.95,3.58,1
2015,豐興,67.0,15.22,4.91,13.62,5.79,1
8163,達方,38.5,11.05,3.61,17.98,6.49,1
2547,日勝生,9.15,6.74,0.83,33.97,6.44,1
1612,宏泰,16.8,12.62,2.37,9.3,6.73,1
5306,桂盟,148.0,23.76,10.43,43.51,2.26,1
4581,光隆精密-KY,34.7,14.05,3.23,26.99,4.13,1
5225,東科-KY,37.3,4.51,1.22,10.41,3.09,-1
3443,創意,767.0,21.9,7.14,30.69,0.96,1
1604,聲寶,26.0,14.42,2.71,18.22,6.01,1
6197,佳必琪,40.5,9.4,2.32,22.62,6.5,1
9917,中保科,99.4,20.86,5.13,36.18,4.33,1
2399,映泰,13.45,4.17,0.41,12.95,4.98,-1
1568,倉佑,24.35,4.54,0.69,12.8,1.76,-1
6412,群電,74.7,21.64,4.84,16.73,5.02,1
2430,燦坤,41.5,6.91,2.01,15.5,3.58,-1
3308,聯德,14.45,-9.7,-0.87,4.96,0.99,-1
1453,大將,16.15,6.38,0.84,-3.3,0.0,-1
9939,宏全,84.2,11.22,5.04,20.14,4.05,1
6120,達運,8.96,-2.87,-0.41,3.06,4.18,-1
2467,志聖,43.2,19.63,3.16,33.01,5.07,1
3645,達邁,34.3,11.14,2.29,32.73,3.29,1
1720,生達,61.9,11.69,2.62,44.32,3.67,1
2413,環科,28.2,-3.33,-0.43,15.14,0.86,-1
3533,嘉澤,883.0,18.48,21.46,36.27,1.44,1
1101,台泥,33.7,11.0,3.69,26.64,5.87,1
2406,國碩,20.0,-16.37,-2.67,6.73,2.41,-1
1519,華城,48.45,7.77,1.0,14.05,1.99,-1
2433,互盛電,48.1,12.49,3.9,30.21,7.38,1
1707,葡萄王,159.5,26.61,9.48,81.57,4.4,1
4104,佳醫,65.7,6.93,3.81,19.67,4.89,-1
1721,三晃,15.65,4.47,0.48,7.34,1.66,-1
2465,麗臺,36.55,7.45,1.21,14.31,0.67,-1
8104,錸寶,37.25,17.64,4.31,21.27,4.64,1
3006,晶豪科,70.7,18.33,5.8,21.41,4.15,1
3022,威強電,77.0,11.5,3.81,33.82,2.1,1
4551,智伸科,152.5,18.39,7.74,28.62,2.4,1
3686,達能,15.0,-29.97,-2.1,-49.39,1.52,-1
2364,倫飛,110.5,-16.2,-0.13,25.9,0.21,-1
2349,錸德,8.1,-10.62,-1.19,9.03,0.0,-1
6209,今國光,26.1,-3.93,-0.85,5.26,3.1,-1
6153,嘉聯益,24.8,2.65,0.67,12.86,0.81,-1
1337,再生-KY,7.04,-11.37,-3.06,-24.86,3.47,-1
2515,中工,8.4,3.98,0.55,7.97,2.94,-1
