判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
2362,2.77,1.87,22.77,2.84,0,2362
2415,7.09,1.38,26.54,3.03,0,2415
3704,1.97,0.39,22.37,1.29,0,3704
1903,-4.4,-0.44,33.51,0.0,-1,1903
6153,2.65,0.67,12.86,0.81,-1,6153
1786,7.38,1.54,67.17,2.37,0,1786
5469,9.54,4.94,17.39,4.89,-1,5469
5225,4.51,1.22,10.41,3.09,-1,5225
4104,6.93,3.81,19.67,4.89,-1,4104
1337,-11.37,-3.06,-24.86,3.47,-1,1337
8046,6.79,3.72,9.75,1.26,-1,8046
1714,6.61,0.6,12.57,3.34,-1,1714
1735,3.83,0.55,15.87,3.09,-1,1735
3054,1.85,0.22,0.01,3.71,-1,3054
3058,-6.87,-0.81,11.54,2.8,-1,3058
6155,5.22,0.85,27.41,3.63,0,6155
3021,9.85,1.27,22.41,2.8,0,3021
3701,5.73,0.58,12.75,0.0,-1,3701
2101,4.76,0.64,18.67,1.24,-1,2101
2705,-26.89,-2.66,17.77,0.25,-1,2705
2105,5.89,1.47,22.8,3.61,0,2105
9906,3.5,0.41,25.25,0.27,0,9906
2486,-1.76,-0.26,11.62,3.46,-1,2486
9908,6.92,1.59,22.48,3.36,0,9908
6426,6.55,1.89,44.26,2.38,0,6426
1907,7.88,1.9,18.37,4.14,-1,1907
4739,8.86,3.57,11.39,1.89,-1,4739
1709,7.17,1.14,16.75,4.36,-1,1709
2102,-13.11,-2.1,2.03,0.61,-1,2102
4555,5.81,2.22,35.78,3.15,0,4555
2612,4.6,2.34,20.81,4.11,0,2612
2610,3.9,0.44,11.95,1.92,-1,2610
1535,6.63,1.64,6.39,3.35,-1,1535
1414,2.34,0.33,9.5,1.74,-1,1414
1708,6.85,1.79,26.22,2.1,0,1708
6405,2.07,0.65,18.65,3.74,-1,6405
5484,-12.9,-1.06,16.81,2.32,-1,5484
6288,5.36,0.7,19.59,2.28,-1,6288
2901,2.7,0.32,85.71,1.2,0,2901
3576,-19.85,-1.97,-6.51,4.56,-1,3576
5607,9.16,2.08,54.82,1.71,0,5607
4426,2.7,0.6,10.89,1.6,-1,4426
2605,2.43,0.52,21.12,2.38,0,2605
6133,-0.03,0.01,18.92,1.03,-1,6133
3437,-3.59,-0.72,9.77,4.64,-1,3437
1618,2.86,0.53,8.77,2.63,-1,1618
4935,10.02,5.22,17.74,4.58,0,4935
2453,7.1,1.34,22.78,4.45,0,2453
1539,8.88,1.68,10.71,3.01,-1,1539
8926,7.86,1.6,12.35,4.35,-1,8926
4306,4.41,0.88,14.0,4.24,-1,4306
2369,0.54,0.05,7.75,3.69,-1,2369
1538,-52.11,-2.39,13.51,0.0,-1,1538
1802,6.39,1.08,17.92,3.84,-1,1802
2706,4.03,0.71,73.7,2.04,0,2706
2241,0.65,0.03,20.48,0.91,0,2241
2606,8.2,2.38,17.09,4.92,-1,2606
6668,6.91,1.29,37.53,2.21,0,6668
2538,-1.26,-0.22,52.92,4.07,-1,2538
6116,9.53,1.33,24.71,4.57,0,6116
4906,5.52,1.45,10.39,4.04,-1,4906
8103,8.53,2.75,29.89,3.49,0,8103
8110,3.17,0.69,6.71,2.77,-1,8110
6225,-159.53,-0.1,-67.76,0.0,-1,6225
3051,3.54,0.66,21.35,0.0,0,3051
2332,2.48,0.27,28.43,1.61,0,2332
6215,8.05,1.2,26.2,3.31,0,6215
2722,2.75,0.48,41.52,0.91,0,2722
3037,9.12,3.28,14.18,1.03,-1,3037
4164,4.92,1.9,31.26,4.02,0,4164
5243,7.55,2.62,15.66,2.62,-1,5243
9928,-23.19,-0.98,-5.87,0.0,-1,9928
6289,-215.93,-0.51,-108.8,0.0,-1,6289
2109,1.21,-0.21,20.27,2.57,-1,2109
6117,-4.85,-0.5,16.15,2.69,-1,6117
5284,8.5,3.4,33.05,4.68,0,5284
4934,-30.28,-2.89,-8.41,1.39,-1,4934
2465,7.45,1.21,14.31,0.67,-1,2465
2317,9.97,8.35,6.06,3.63,-1,2317
4737,5.07,1.82,44.06,2.99,0,4737
6205,7.56,1.9,30.7,2.03,0,6205
3011,-4.24,-0.44,10.39,0.25,-1,3011
3047,2.28,-0.11,24.83,2.25,-1,3047
8021,6.26,1.93,29.74,4.83,0,8021
6442,2.5,0.75,17.44,2.46,-1,6442
9902,3.04,0.39,5.14,3.15,-1,9902
1465,7.99,0.43,9.22,4.23,-1,1465
3149,-7.51,-0.57,-0.35,3.27,-1,3149
1313,6.4,1.16,6.24,5.04,0,1313
3346,7.92,1.64,17.02,3.77,-1,3346
1734,-4.48,-0.01,37.54,0.55,-1,1734
4956,0.19,0.04,17.28,3.02,-1,4956
6209,-3.93,-0.85,5.26,3.1,-1,6209
3591,-1.75,-0.46,18.19,1.61,-1,3591
5531,0.78,0.09,32.3,0.0,0,5531
2913,-0.96,-0.17,38.11,2.36,-1,2913
3454,8.86,3.49,32.71,1.94,0,3454
6585,4.11,1.55,20.03,3.37,0,6585
2017,3.83,0.61,13.62,2.99,-1,2017
2516,-8.91,-0.92,-2.15,4.85,-1,2516
2530,-1.71,-0.22,48.64,3.79,-1,2530
2032,3.75,0.49,5.59,2.26,-1,2032
