代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROE_2021,毛利率_2017,毛利率_2018,毛利率_2019,毛利率_2020,毛利率_2021,負債比_2017,負債比_2018,負債比_2019,負債比_2020,負債比_2021,稅後淨利率_2017,稅後淨利率_2018,稅後淨利率_2019,稅後淨利率_2020,稅後淨利率_2021,現金股利,成交價,董監持股,現金殖利率,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test,符合數量,正負樣本
1234,黑松,4.23,1.88,26.54,3.07,3.96,4.77,4.95,4.4,25.69,23.79,26.8,28.63,27.77,23.16,23.25,21.03,18.65,20.38,5.98,7.82,9.26,9.67,8.64,1.66,33.25,12.06,4.99,0,1,1,0,1,1,4,0
1235,興泰,3.44,1.69,37.44,8.86,2.29,1.22,2.35,2.48,6.24,46.42,50.62,46.45,37.49,27.5,25.58,38.58,28.08,22.72,399.16,183.81,75.9,83.53,199.76,0.61,63.4,9.08,0.96,0,1,1,0,1,0,3,0
1236,宏亞,0.09,0.01,26.96,0.28,0.74,0.9,0.01,-1.46,26.76,26.71,26.95,28.61,25.77,40.06,34.32,38.43,41.84,38.42,0.27,0.67,0.85,0.01,-1.56,0.32,20.7,24.47,1.55,0,1,1,0,1,1,4,0
1256,鮮活果汁-KY,26.53,16.9,37.24,23.44,26.73,28.54,32.85,21.08,29.92,35.52,38.54,45.95,36.25,34.32,31.77,34.59,24.93,16.6,9.84,13.71,15.56,22.32,15.39,8.48,226.5,0,3.74,1,1,1,0,0,0,3,0
1301,台塑,13.01,7.15,18.26,15.01,14.15,10.59,5.88,19.4,16.19,16.19,15.45,15.64,27.84,27.53,29.1,29.76,30.62,25.84,23.89,21.51,17.96,10.78,26.08,5.3,86.5,14.93,6.13,1,1,0,1,0,1,4,0
1303,南亞,12.88,5.98,16.11,15.03,13.97,6.25,7.55,21.6,16.31,14.71,9.83,14.49,25.23,32.51,32.15,35.9,39.02,35.88,17.63,15.81,8.11,9.84,20.61,4.44,67.7,18.26,6.56,1,1,0,1,1,1,5,1
1304,台聚,10.47,1.97,15.9,8.11,5.26,6.73,12.93,19.32,12.26,9.52,12.1,20.88,24.74,45.94,47.16,45.15,36.99,34.4,4.66,3.08,4.57,11.32,14.05,0.86,20.4,24.42,4.22,1,1,0,0,1,1,4,0
1305,華夏,16.66,2.7,19.82,16.79,15.94,7.97,18.84,23.77,18.89,17.79,13.03,24.46,24.93,35.29,33.37,29.35,25.84,30.28,9.11,8.93,4.62,13.05,13.01,1.56,20.4,33.13,7.65,1,1,0,1,1,1,5,1
1307,三芳,4.7,0.99,22.5,10.43,3.65,5.22,2.7,1.49,29.46,20.31,23.05,22.08,17.58,41.8,43.42,45.4,48.68,48.09,9.14,3.19,4.19,2.58,1.38,0.8,20.95,9.47,3.82,0,1,1,0,1,0,3,0
1308,亞聚,9.89,2.04,17.6,5.85,2.95,8.28,9.88,22.5,10.88,4.46,15.25,19.8,37.61,34.01,38.42,39.55,28.28,18.53,8.83,4.5,12.09,19.35,32.42,1.06,28.05,38.36,3.78,0,1,0,0,1,1,3,0
1309,台達化,18.21,2.76,11.11,13.78,5.27,9.6,36.03,26.39,7.23,4.81,7.05,20.15,16.3,55.68,54.26,46.28,31.26,28.69,2.53,0.96,2.25,12.39,8.91,0.94,21.25,39.37,4.42,1,1,0,0,1,1,4,0
1310,台苯,9.14,1.34,8.12,13.02,15.52,11.8,3.94,1.42,11.45,12.85,11.39,3.76,1.13,30.69,26.57,22.3,17.18,20.73,6.67,7.72,7.22,3.57,0.9,1.05,13.15,4.54,7.98,0,1,0,1,1,0,3,0
1312,國喬,13.74,4.03,16.97,15.55,12.83,8.23,14.81,17.28,16.25,16.39,12.89,18.74,20.59,16.13,14.2,13.51,14.32,19.79,14.76,12.73,10.63,26.07,26.95,0.98,17.55,5.38,5.58,1,1,0,1,1,0,4,0
1313,聯成,6.4,1.16,6.24,11.81,3.67,-0.7,9.38,7.83,7.63,5.07,3.29,8.94,6.27,52.76,56.8,54.44,43.54,44.4,4.63,1.23,-0.22,4.11,2.62,0.68,12.35,0,5.51,0,1,0,1,1,0,3,0
1314,中石化,5.13,1.21,9.95,10.72,6.6,2.58,0.98,4.75,16.11,13.44,5.49,0.22,14.49,23.37,25.1,30.35,32.45,40.55,18.26,11.12,5.85,3.84,10.23,0.69,9.54,6.91,7.23,0,1,0,1,1,0,3,0
1315,達新,13.36,7.55,16.17,2.3,3.05,8.66,52.73,0.05,16.71,15.02,16.63,17.11,15.4,23.1,21.78,15.44,6.6,9.29,6.34,9.04,28.61,243.12,0.27,3,67,17.13,4.48,1,1,0,0,1,1,4,0
1316,上曜,4.27,0.66,23.2,14.09,8.17,-2.73,2.55,-0.71,29.35,29.33,17.08,20.94,19.29,41.31,48.77,64.56,63.22,49.07,15.1,15.22,-10.36,5.26,-2.73,0.83,12.45,9.14,6.67,0,1,1,1,1,0,4,0
1319,東陽,6.99,2.63,22.19,11.55,8.94,8.32,3.29,2.86,24.23,22.87,25,19.87,18.97,43.37,41.29,38.72,37.11,35.37,9.8,8.4,8.58,4.29,3.47,1.44,48.45,18.4,2.97,0,1,1,0,1,1,4,0
1321,大洋,3.18,0.9,6.71,-1.69,-1.42,2.19,11.99,4.83,5.64,3.91,4.5,12.05,7.47,56.06,54.09,53.98,45.76,48.95,-1.82,-1.5,2.51,14.36,4.92,0.34,34.5,5.89,0.99,0,1,0,0,1,0,2,-1
1323,永裕,14.85,3.1,24.13,15.3,16.53,15.19,14.27,12.97,23.64,23.8,23.89,25.27,24.07,46.28,46.18,53.79,52.84,52.4,9.68,9.63,9.71,10.37,9.07,1.58,33,13.1,4.79,1,1,1,0,1,1,5,1
1324,地球,1.63,0.22,15.98,5.95,0.12,0.32,1.68,0.07,15.22,15.67,16.3,17.36,15.33,26.24,23.3,20.43,21.75,23.79,4.91,0.11,0.28,1.55,0.06,0.28,10.6,8.06,2.64,0,1,0,0,1,0,2,-1
1325,恆大,17.53,5.61,27.85,2.22,3.37,1.95,72.03,8.07,13.66,11.11,10.83,66.7,36.93,6.81,6.47,5.91,17.37,5.24,4.59,6.55,4.49,49.66,23.3,3.03,23,28.62,13.17,1,1,1,1,1,1,6,1
1326,台化,10.36,6.5,12.88,15.04,13.02,8.18,5.36,10.18,14.84,13.13,10.16,11.66,14.61,26.88,26.74,25.66,25.64,25.8,16.75,13.59,10.92,8.51,11.67,4.86,68.8,5.72,7.06,1,1,0,1,1,0,4,0
