代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROE_2021,毛利率_2017,毛利率_2018,毛利率_2019,毛利率_2020,毛利率_2021,負債比_2017,負債比_2018,負債比_2019,負債比_2020,負債比_2021,稅後淨利率_2017,稅後淨利率_2018,稅後淨利率_2019,稅後淨利率_2020,稅後淨利率_2021,現金股利,成交價,董監持股,現金殖利率,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test,符合數量,正負樣本
1473,台南,-1.86,-0.33,12.8,1.21,1.67,2.1,-10.01,-4.27,12.57,12.82,13.91,11.24,13.47,37.1,36.39,34.55,34.91,41.42,0.59,0.78,1.05,-5.95,-2.34,0.36,19.25,21.29,1.87,0,0,0,0,1,1,2,-1
1474,弘裕,5.07,0.81,12.63,5.76,5.48,2.04,5.18,6.91,13.67,11.42,9.26,14.07,14.72,52.92,49.27,47.54,48.33,51.02,3.21,2.89,1.13,3.53,4.03,0.48,11.85,13.55,4.05,0,1,0,0,1,1,3,0
1475,業旺,-14.64,-2.74,-16.81,-56.75,-92.84,58.62,2.11,15.65,-18.89,-100.35,-6.51,18.75,22.95,53.86,63.17,67.14,19.6,21.07,-48.12,-95.67,28.16,2.33,17.2,0,50.7,0,0,0,0,0,0,1,0,1,-1
1476,儒鴻,24.1,15.41,28.06,20.23,27.37,24.53,22.82,25.54,27.51,28.82,28.85,28.67,26.43,24.89,23.53,22.28,27.52,27.77,12.6,15.88,15.29,15.1,14.33,10.9,390,16.19,2.79,1,1,1,0,0,1,4,0
1477,聚陽,19.55,8.52,20.83,15.05,17.51,21.34,21.47,22.36,19.33,19.82,20.06,22.35,22.59,32.33,34.99,37.66,45.46,37.92,5.79,6.36,7.13,8.34,9.26,7.12,183,9.86,3.89,1,1,1,0,0,0,3,0
1503,士電,6.69,2.97,18.56,6.26,6.4,7.21,6.34,7.24,19.17,18.43,18.74,18.45,18.01,39.56,41.07,39.46,38.89,40.18,6.23,5.89,6.68,6.22,6.9,1.56,57,26.69,2.74,0,1,0,0,1,1,3,0
1504,東元,6.14,1.8,23.94,6.24,5.97,5.86,5.89,6.74,23.95,24.05,23.96,23.48,24.25,37.1,36.41,37.73,36.01,29.98,6.96,6.94,7.34,8.32,10.47,1.05,27.85,8.06,3.77,0,1,1,0,1,0,3,0
1506,正道,-16.45,-1.1,8.88,-0.92,-10.46,-34.29,-41.5,4.93,16.14,5.42,6.2,2.17,14.47,55.23,57.91,67.69,60.57,55.37,-0.88,-11.21,-31.2,-43.27,4.61,0,16.9,32.81,0,0,0,0,0,1,1,2,-1
1512,瑞利,-71.55,-1.47,3.53,-58.36,-28.59,-94.09,-58.34,-118.38,0.98,6.1,4.01,6.3,0.24,81.96,78.58,89.92,91.67,95.71,-22.12,-6.37,-24.28,-10.78,-15.36,0.2,3.53,20.81,5.67,0,0,0,1,1,1,3,0
1513,中興電,11.32,2.37,18.75,6.81,7.42,8.28,16.57,17.5,16.01,15.87,16.69,21.35,23.85,54.3,55.04,61.35,63.09,66.01,4.51,4.59,5.16,10.08,10.94,1.64,56.2,9.97,2.92,1,1,0,0,1,0,3,0
1514,亞力,8.45,1.24,16.51,4.28,7.47,9.93,9.96,10.62,14.68,15.59,17.43,17.68,17.18,46.82,49.29,46.53,45.63,55.95,3.09,4.92,6.17,6.26,6.48,0.67,27.6,12.64,2.43,0,1,0,0,1,1,3,0
1515,力山,23.75,4.2,18.65,11.29,15.91,42.4,22.8,26.36,22.37,19.95,19.9,17.33,13.71,61.38,63.63,50.01,60.58,66.05,5.09,6.45,16.1,7.23,5.75,2.56,29,11.91,8.83,1,1,0,1,1,1,5,1
1516,川飛,6.87,0.8,3.94,4.79,4.5,3.55,7.27,14.26,2.88,3.26,3.6,4.84,5.14,8.77,6.27,17.67,13.96,11.22,2.14,1.78,1.98,3.49,5.17,0.4,22.15,13.82,1.81,0,1,0,0,1,1,3,0
1517,利奇,4.34,0.61,13.63,-1.44,2.75,0.49,6.14,13.78,13.91,9.14,11,15.39,18.73,28.14,29.28,26.74,30.18,33.04,-1.75,3.07,0.53,5.98,10.12,0.36,22,10.6,1.64,0,1,0,0,1,1,3,0
1519,華城,7.77,1,14.05,2.87,1.72,12.89,13.21,8.14,12.58,10.41,15.7,15.98,15.6,55.93,55.13,60.65,59.19,64.53,1.56,0.89,5.78,5.4,3.19,0.8,40.05,19.04,2,0,1,0,0,1,1,3,0
1521,大億,15.18,3.73,15.33,26.36,16.87,19.22,8.72,4.72,17.28,14.58,17.94,14,12.85,48.91,46.45,47.72,52.03,48.9,8.06,5.6,6.69,3.33,1.65,2.98,34.8,32.55,8.56,1,1,0,1,1,1,5,1
1522,堤維西,7.37,1.56,21.12,9.62,9.24,10.56,4.23,3.18,21.82,22.15,23.73,19.78,18.14,67.71,69.18,70.94,70.52,65.95,3.98,3.65,4.06,1.98,1.43,1.08,26.15,8.34,4.13,0,1,1,0,1,0,3,0
1524,耿鼎,5.5,0.69,18.78,7.72,8.81,6.56,1.61,2.79,20.81,20.97,20.48,15.27,16.38,57.02,54.33,54.16,56.21,58.41,6.24,8.07,6.32,1.91,3.16,0.37,24.95,25.14,1.48,0,1,0,0,1,1,3,0
1525,江申,9.52,5.21,9.16,14.53,11.33,7.05,7.69,7,8.97,10.16,9.76,8.76,8.14,18.99,17.37,18.48,18.18,16.62,46.24,33.88,23.34,30.77,24.05,2.1,58,76.83,3.62,0,1,0,0,1,1,3,0
1526,日馳,16.22,2.82,25.68,19.01,15.59,8.06,16.71,21.72,27.33,25.7,24.11,22.56,28.72,64.88,43.22,38.24,38.69,54.45,10.13,10.71,7.07,14.3,13.93,1.44,48.7,28,2.96,1,1,1,0,1,1,5,1
1527,鑽全,14.53,3.88,26.9,6.11,30.3,14.88,10.18,11.16,29.04,29.94,28.45,25.32,21.74,78.57,74.24,15.88,19.1,16.93,5.32,27.64,16.56,11.34,10.42,2.27,40.25,14.44,5.64,1,1,1,1,1,1,6,1
1528,恩德,-0.13,-0.02,26.65,4.09,1.62,-10.97,-5.2,9.79,29.92,26.35,24.52,26.61,25.87,59.15,55.14,52.91,56.41,55.1,2.13,0.82,-6.56,-3.68,6.1,0.2,9.54,10.03,2.1,0,0,1,0,1,1,3,0
1529,樂士,7.89,0.61,20.35,13.56,6.92,4.84,5.82,8.29,9.57,18.53,9.81,17.86,45.98,17.45,25.65,43.48,34.01,35.35,7.91,11.38,5.38,10.19,34.76,0.28,21.9,20.78,1.28,0,1,1,0,1,1,4,0
1530,亞崴,8.65,2.36,18.49,5.98,10.98,3.51,18.97,3.81,20.34,18.39,19.43,15.54,18.73,61.52,59.73,55.28,46.02,49.15,4.08,6.84,3.15,19.21,3.36,1.75,29.6,59.09,5.91,0,1,0,1,1,1,4,0
1531,高林股,2.28,0.47,18.67,4.09,3.29,0.8,-1.53,4.77,25.92,20.72,16.21,12.48,18.02,18.6,19.06,16.76,19.99,25.3,6.96,4.71,1.37,-3.42,5.82,0.48,13.75,23.56,3.49,0,1,0,0,1,1,3,0
1532,勤美,8.01,2.47,25.18,6.07,14.65,4.05,4.99,10.29,26.34,27.75,23.56,25.13,23.1,60.4,55.42,63.33,64.27,66.49,7.07,13.17,4.81,6.03,8.9,1.65,29.95,19.99,5.51,0,1,1,1,1,1,5,1
1533,車王電,3.66,1.53,32.38,5.03,8.48,4.51,-0.18,0.46,37.84,32.66,33.46,28.05,29.91,47.45,47.93,54.42,57.64,62.61,4.55,7.25,4.32,-0.17,0.44,0.42,52.2,33.32,0.8,0,1,1,0,1,1,4,0
1535,中宇,6.63,1.64,6.39,5.96,3.23,4.25,6.66,13.05,7.21,4.68,5.7,5.87,8.49,59.96,62.9,51.93,55.98,52.94,1.87,0.91,1.36,2.23,4.76,1.5,42.05,60.46,3.57,0,1,0,0,1,1,3,0
1536,和大,11.84,2.91,28.19,22.26,18.39,9.68,4.38,4.5,33.78,31.5,28.02,22.51,25.15,53.46,55.89,61.38,65.09,58.57,17.93,17.34,10.94,5.48,5.09,2.34,90.6,12.09,2.58,1,1,1,0,0,1,4,0
1537,廣隆,22.77,10.74,22.37,24.75,26.06,25.25,21.84,15.95,22.58,21.57,23.38,23.25,21.05,31.04,32.62,25.4,26.73,27.94,11.66,11.58,12.69,12.35,10.69,9.3,137,16.88,6.79,1,1,1,1,0,1,5,1
1538,正峰,-52.11,-2.39,13.51,-30.43,-26.93,-64.3,-7.74,-131.17,16.89,13.96,12.8,12.46,11.44,69.34,74.31,84.34,62.26,89.18,-23.88,-23.48,-40.71,-4.46,-51.05,0,7.16,0,0,0,0,0,0,1,0,1,-1
1539,巨庭,8.88,1.68,10.71,6.92,26.88,5.22,-1.45,6.82,12.79,9.69,10.9,9.48,10.69,65.53,56.41,60.81,71.8,65.88,2.73,12.77,3.18,-0.81,2.81,1.12,31.65,14.95,3.54,0,1,0,0,1,1,3,0
1540,喬福,3.83,0.64,22.37,3.3,9.66,7.98,-1.49,-0.28,27.59,24.97,29.21,13.93,16.16,15.72,24.18,13.24,14.73,15.07,7.93,21.59,17.23,-6.64,-1,0.78,15.2,20.89,5.13,0,1,1,1,1,1,5,1
1541,錩泰,17.38,3.1,16.15,11.15,6.98,21.07,30.52,17.19,16.22,13.35,18.34,20.23,12.59,60.33,60.46,58.81,55.35,65.97,3.7,2.19,5.99,8.66,4.82,2.26,31.85,31.97,7.1,1,1,0,1,1,1,5,1
1558,伸興,14.84,11.51,24.88,11.95,20.29,14.26,17.16,10.53,25.27,25.31,25.09,28.14,20.61,34.33,28.84,25.43,36.67,37.53,8.98,14.11,11.59,12.14,6.84,9.26,121,10.46,7.65,1,1,1,1,0,1,5,1
1560,中砂,14.61,4.47,30.69,18.7,16.27,11.78,11.55,14.75,33.77,29.48,29.3,29.99,30.9,23.63,31.4,41.89,49.9,50.3,16.19,13.63,11.08,10.46,11.97,3.08,122,14.89,2.52,1,1,1,0,0,1,4,0
1568,倉佑,4.54,0.69,12.8,12.29,5.95,1.78,0.68,1.99,14.81,13.6,11.91,9.46,14.2,57.16,55.39,53.46,52.96,53.68,5.72,3.79,1.38,0.59,1.62,0.51,23.55,18.91,2.17,0,1,0,0,1,1,3,0
1582,信錦,13.49,5.75,22.93,15.05,15.44,16.72,16.3,3.94,23.15,23.09,26.39,26.29,15.71,30.45,33.82,42.95,46.97,49.31,9.8,10.1,10.98,10.09,2.36,5.26,62.9,12.79,8.36,1,1,1,1,1,1,6,1
1583,程泰,8.99,3.79,22.87,8.53,13.25,5.48,10.99,6.7,25.18,23.58,24.39,18.46,22.74,62.16,59.04,53.84,47.47,49.78,6.22,9.14,5.38,13.18,6.49,2.8,61.4,42.17,4.56,0,1,1,0,1,1,4,0
1587,吉茂,5.4,1.01,22.96,1.41,3.36,0.18,14.08,7.95,21.3,22.32,22.56,26.02,22.59,54.84,53.58,52.86,51.68,57.49,1.17,2.65,0.14,10.06,4.35,0.71,22.75,28.48,3.12,0,1,1,0,1,1,4,0
1589,永冠-KY,2.05,1.62,18.96,2.61,-3.05,2.03,6.23,2.43,22.36,13.41,17.36,21.87,19.78,32.92,43.01,42.15,46.54,52.17,4.03,-4.42,2.07,6.31,2.39,1.48,61.1,11.11,2.42,0,1,0,0,1,1,3,0
1590,亞德客-KY,20.7,21.36,49,24.7,17.17,15.45,23.82,22.35,51.96,48.29,46.71,49.49,48.57,44.78,51.18,54.47,45.71,26.27,24.05,18.2,17.15,25.36,25.36,7.88,721,4.05,1.09,1,1,1,0,0,0,3,0
1597,直得,15.27,3.78,43.35,16.47,27.2,8.82,9.82,14.04,41.86,47.54,44.73,40.95,41.67,42.03,40.39,39.02,39.79,39.8,15.98,22.67,13.43,14.7,16.63,1.2,70.4,12.82,1.7,1,1,1,0,1,1,5,1
1598,岱宇,11.06,3.36,32.34,-7.58,6.03,10.18,37.05,9.62,28.51,27.49,29.34,41.79,34.55,67.67,70.41,69.24,63.25,64.12,-3.72,2.29,3.76,10.04,3.78,2.39,39.75,8.8,6.01,1,1,1,1,1,0,5,1
1603,華電,4.83,1.58,13.01,5.71,2.61,4.64,6.18,5.03,11.77,10.01,14.59,12.32,16.35,33.34,37.36,36.58,34.96,33.27,10.45,5.21,8.58,14.55,11.03,0.6,25.65,12.55,2.34,0,1,0,0,1,1,3,0
1604,聲寶,14.42,2.71,18.22,4.7,10.37,11.69,24.67,20.68,24.48,15.43,15.74,18.28,17.19,43.96,47.51,45.28,35.84,33.54,3.82,9.68,10.86,23.94,19.46,1.66,26.15,5.5,6.35,1,1,0,1,1,0,4,0
1605,華新,10.88,2.55,9.24,9.73,15.78,4.79,8.45,15.63,7.15,8.35,6.97,11.08,12.64,44.51,40.25,43.1,42.41,41.02,3.99,6.26,2.81,6.22,9.74,1.04,38.7,0,2.69,1,1,0,0,1,0,3,0
1608,華榮,6.86,1.1,5.16,7.58,-7.16,9.64,4.7,19.52,6.61,3.82,1.25,4.67,9.45,34.79,36.19,35.71,35.81,34.11,7.42,-6.55,9.35,5,15.76,0.86,12.55,33.58,6.85,0,1,0,1,1,1,4,0
1609,大亞,10.01,1.25,8.46,8,7.15,7.09,11.8,16.02,9.26,6.89,7.19,8.75,10.2,57.29,60.37,59.65,63.78,66.42,3.66,3.08,3.22,5.65,6.02,0.33,18.1,5.22,1.82,1,1,0,0,1,0,3,0
1611,中電,7.58,0.95,24.64,12.71,0.72,16.24,1.73,6.48,18.89,22.95,26.52,26.74,28.12,30.41,18.16,22.59,29.66,22.65,21.73,1.46,32.4,3.79,15.69,0.65,15.15,6.14,4.29,0,1,1,0,1,0,3,0
1612,宏泰,12.62,2.37,9.3,4.47,2.68,4.42,10.39,41.15,7.12,9.48,6.13,11.87,11.88,11.8,13.8,20.28,13.77,10.56,5.75,3.16,5.75,11.32,42.78,1.06,14.8,12.41,7.16,1,1,0,1,1,1,5,1
1614,三洋電,5.27,1.07,20.08,4.14,3.92,4.78,6.71,6.81,18.84,19.65,19.2,21.28,21.41,20.52,19.89,17.44,18.43,19.99,4.32,4.11,4.8,6.48,6.39,0.92,34.85,33.38,2.64,0,1,1,0,1,1,4,0
1615,大山,14.56,2.24,13.05,9.45,12.07,14.07,17.12,20.08,9.82,10.17,13.58,17.14,14.53,32.25,31.59,35.35,40.6,30.53,5.36,5.84,7.76,10.38,9.97,1.29,27.3,15.43,4.73,1,1,0,0,1,1,4,0
1616,億泰,-0.69,-0.06,5.43,-6.64,0.66,-3.7,0.11,6.1,1.95,7.03,4.73,4.78,8.67,53.95,48.13,46.95,45.74,49.07,-3.84,0.34,-1.85,0.06,2.95,0,7.66,10.44,0,0,0,0,0,1,1,2,-1
1617,榮星,8.87,1.08,13.25,7.15,12.62,5.15,8.41,11.02,14.59,13.26,11.94,14.41,12.03,51.95,43.14,38.17,40.91,46.4,3.46,5.99,3.06,4.9,4.46,0.66,14.95,46.17,4.41,0,1,0,0,1,1,3,0
1618,合機,2.86,0.53,8.77,2.07,-0.26,1.69,5.55,5.26,8.46,4.91,6.08,12.08,12.31,6.98,7.5,11.27,8.37,7.47,3.93,-0.49,2.46,8.57,8.31,0.34,14.05,35.37,2.42,0,1,0,0,1,1,3,0
1626,艾美特-KY,0.68,0.19,16.38,0.05,-0.71,9.38,5.08,-10.42,17.35,17.05,19.49,17.01,11,66.84,70.44,66.19,66.08,72.29,0.01,-0.17,2.54,1.7,-3.02,1.01,17.55,26.18,5.75,0,1,0,1,1,1,4,0
1701,中化,6.94,1.44,35.65,5.52,6.49,6.61,8.9,7.16,30.79,37.8,37.35,36.29,36.04,45.47,47.05,48.7,46.37,39.09,4.91,4.84,4.83,6.84,6.5,0.82,21.2,17.61,3.87,0,1,1,0,1,1,4,0
1702,南僑,15.7,4.03,33.25,17.17,17.32,15.94,14.89,13.19,32.69,33.24,35.03,33.7,31.58,73.43,71.52,73.09,72.55,59.76,5.79,5.81,5.52,5.65,6.24,2.32,44.05,17.62,5.27,1,1,1,1,1,1,6,1
1707,葡萄王,26.61,9.48,81.57,31.95,28.51,26.92,24.53,21.16,83.77,79.81,81.89,82.21,80.18,36.03,34.89,34.23,39.11,25.83,20.61,20.58,20.98,20.67,19.88,6.44,133.5,20.07,4.82,1,1,1,0,0,1,4,0
1708,東鹼,6.85,1.79,26.22,9.05,6.21,4.68,2.97,11.34,28.62,25.6,23.46,20.75,32.66,48.07,52.48,52.83,51.2,50.25,12.69,8.65,6.32,4.32,13.99,1.04,41.9,11.89,2.48,0,1,1,0,1,1,4,0
1709,和益,7.17,1.14,16.75,8.66,5.1,2.82,7.32,11.95,18.78,12.85,11.32,17.54,23.24,25.98,33.58,35.88,32.69,31.85,7.53,3.98,2.36,6.36,9.99,1.08,22.55,18.65,4.79,0,1,0,0,1,1,3,0
1710,東聯,4.84,0.77,8.14,14.15,13.09,-1.45,-9.3,7.7,15.37,13.39,-0.1,2.76,9.29,50.22,48.93,54.63,56.28,52.86,8.29,7.43,-1.14,-7.84,4.32,0.94,17.25,10.44,5.45,0,1,0,1,1,1,4,0
1711,永光,4.41,0.66,22.02,4.62,5.11,4.35,2.48,5.51,21.49,22.51,21.83,20.19,24.06,41.44,42.9,40.26,36.58,35.58,4.04,4.24,3.74,2.64,5.24,0.42,18.1,16,2.32,0,1,1,0,1,1,4,0
1712,興農,10.5,1.75,27.16,9.26,10.69,9.64,10.17,12.72,27.28,27.05,26.58,26.91,27.97,56.16,52.83,53.64,52.48,53.12,3.35,4.05,3.99,4.13,4.99,1.34,38,14.85,3.53,1,1,1,0,1,1,5,1
1713,國化,4.6,0.71,13.16,3.22,5.05,4.18,3.94,6.61,15.41,11.18,11.3,13.93,13.96,6.92,6.46,6.27,5.83,6.08,11,17.19,16.26,19.22,25.21,0.65,24.5,12.98,2.65,0,1,0,0,1,1,3,0
1714,和桐,6.61,0.6,12.57,2.76,3.01,2.53,15.91,8.85,7.53,7.55,9.26,23.24,15.28,45.61,42.9,41.89,32.69,30.75,1.31,1.44,1.31,9.28,7.22,0.31,8.73,10.01,3.55,0,1,0,0,1,1,3,0
1717,長興,10.51,1.96,19.71,8.81,6.99,11.15,11.04,14.55,17.9,16.81,19.47,23.16,21.19,62.69,60.22,59.25,58.64,59.25,4.49,3.45,6.02,6.5,6.91,1.16,0,0,0,1,1,0,0,1,0,3,0
1718,中纖,6.17,0.4,0,6.64,7.9,4.34,6.38,5.57,0,0,0,0,0,92.28,91.92,91.49,91.3,91.04,0,0,0,0,0,0.08,8.18,5.71,0.98,0,1,0,0,1,0,2,-1
1720,生達,11.69,2.62,44.32,10.32,10.13,10.58,13.1,14.3,45.44,43.23,43.41,44.59,44.91,34.08,34.05,32.93,30.41,32.7,11.26,11.98,11.95,14.53,18.18,1.78,45.45,19.83,3.92,1,1,1,0,1,1,5,1
1721,三晃,4.47,0.48,7.34,2.88,0.64,-0.3,22.05,-2.91,11.19,7.27,8.7,5.06,4.49,44.43,44.57,46.36,48.38,43.01,2.03,0.43,-0.21,19.05,-2.46,0.28,14.6,9.36,1.92,0,1,0,0,1,0,2,-1
1722,台肥,4.51,2.34,21.9,3.26,4.57,4.07,4.81,5.84,22.31,22.53,23.52,25.46,15.66,34.68,33.53,32.95,32.79,33.67,13.89,18.68,16.01,24.12,22.22,2.32,54.3,24.07,4.27,0,1,1,0,1,1,4,0
1723,中碳,16.35,4.98,23.25,17.62,21.3,17.64,9.99,15.2,25.48,25.19,24.48,20.88,20.22,38.83,37.22,39.14,41.51,35.07,19.35,17.71,17.21,13.2,13.74,4.34,105.5,34,4.11,1,1,1,0,0,1,4,0
1725,元禎,7.25,1.32,4.71,7.76,7.25,5.88,7.13,8.22,4.67,4.32,4.65,5.47,4.44,48.56,42.1,36.12,35.79,38.36,2.12,2.24,2.27,3.52,2.99,0.93,22.9,11.45,4.06,0,1,0,0,1,1,3,0
1726,永記,9.21,4.86,25.55,9.54,8.93,8.11,9.67,9.81,27.34,23.86,24.78,26.51,25.24,16.28,15.94,13.97,14.81,17.98,10.32,9.28,8.6,10.4,9.95,3.44,69.8,21.08,4.93,0,1,1,0,1,1,4,0
1727,中華化,3.84,0.53,13.32,6.53,6.64,2.12,-11.24,15.15,12.61,12.96,11.59,10.92,18.51,43.21,41.98,41.61,44.8,42.98,3.92,3.76,1.36,-8.68,10.33,0.5,27.7,24.88,1.81,0,1,0,0,1,1,3,0
1730,花仙子,18.9,4.62,44.15,15.24,21.1,21.32,21.1,15.73,44.16,43.5,43.52,45.69,43.88,31.46,42.15,33.02,28.01,32.05,9.95,10.68,10.75,12.55,9.21,3.28,55,22.95,5.96,1,1,1,1,1,1,6,1
1731,美吾華,6.59,0.9,58.27,4.93,4.36,5.79,9.41,8.47,42.99,57.36,60.85,63.48,66.66,33.71,35.67,35.75,24.24,25.5,5.46,6.74,9.14,16.05,12.75,0.77,18,35.35,4.28,0,1,1,0,1,1,4,0
1732,毛寶,4.23,0.46,42.66,1.74,1.63,5.63,8.17,3.98,42.21,42.11,44.28,44.99,39.72,25.76,24.83,23.78,24.61,27.47,1.22,1.23,4.17,6.22,3.13,0.47,28.8,18.27,1.63,0,1,1,0,1,1,4,0
1733,五鼎,6.98,1.19,25.53,4.85,5.66,6.8,5.7,11.9,24.04,27.41,26.86,22.55,26.81,38.33,35.42,40.42,37.91,34.34,4.59,4.58,5.14,4.72,9.49,1.17,25.4,10.03,4.61,0,1,1,0,1,1,4,0
1734,杏輝,-4.48,-0.01,37.54,-2.43,-3.49,-4.47,-5.44,-6.59,37.97,37.25,39.29,36.66,36.52,39.99,41.77,45.87,48.69,50.54,-4.22,-5.55,-6.18,-7.22,-8.42,0.18,29,14.92,0.62,0,0,1,0,1,1,3,0
1735,日勝化,3.83,0.55,15.87,4.41,0.74,8.28,5.02,0.69,14.02,12.04,20.42,19.35,13.53,54.03,53.68,49.53,51.41,61.47,1.89,0.28,3.71,3.13,0.31,0.46,14.25,58.94,3.23,0,1,0,0,1,1,3,0
1736,喬山,5.94,1.67,47.04,1.56,4.7,14.73,7.7,1.01,47.22,46.13,49.45,47.23,45.18,63.32,64.49,66.08,67.03,73.4,0.67,1.79,5.1,2.63,0.32,0.79,77,62.94,1.03,0,1,1,0,1,1,4,0
1737,臺鹽,6.27,1.91,39.65,5.89,7.44,5.61,5.99,6.4,41.31,40.02,41.64,41.77,33.53,16.95,15.98,19.06,18.38,23.08,12.83,15.08,11.89,11.97,10.06,1.53,32,0,4.78,0,1,1,0,1,0,3,0
1752,南光,8.19,1.75,33.91,8.71,4.82,10.26,8.35,8.82,34.34,32.47,35.31,34.01,33.4,35.72,32.19,33.46,32.38,34.67,12.36,6.58,12.34,10.45,11.02,1.58,34.75,11.21,4.55,0,1,1,0,1,1,4,0
1760,寶齡富錦,9.25,1.44,53.82,11.03,14.56,11.91,2.15,6.58,57.27,57.03,54.91,51.89,47.98,33.04,26.4,28.91,59.66,34.54,7.47,11.3,10.25,1.78,5.49,1.46,135.5,0,1.08,0,1,1,0,0,0,2,-1
1762,中化生,12.28,3.53,40.69,4.78,12.31,5.86,23.57,14.87,34.91,34.48,40.52,44.49,49.07,47.18,38.42,41.4,20.61,33.93,7.35,22.98,10.13,34.47,20.73,1.06,54.6,0,1.94,1,1,1,0,1,0,4,0
1773,勝一,21.2,6.51,27.35,20.07,19.98,18.19,21.97,25.77,27.19,24.87,26.71,29.85,28.11,21.16,21.05,29.61,30.01,37.99,12.85,11.58,11.79,15.09,14.51,3.66,116,45.85,3.16,1,1,1,0,0,1,4,0
1776,展宇,6.4,0.88,17.1,8.39,-2.04,6.64,5.07,13.92,15.07,11.28,18.54,21.38,19.25,40.48,42.81,40.81,41.95,36.22,5.16,-1.28,4.61,4.06,10.69,1.13,17.25,8.75,6.55,0,1,0,1,1,0,3,0
1783,和康生,6.44,0.81,45.22,2,6.96,7.1,7.4,8.76,37.49,42.69,48.05,46.87,50.98,27.87,25.76,28.19,10.06,9.76,3.69,13.34,13.29,13.83,17.12,0.47,39.9,37.87,1.18,0,1,1,0,1,1,4,0
1786,科妍,7.38,1.54,67.17,1.9,8.72,9.9,9.26,7.13,59.14,65.82,69.76,73.53,67.62,41.5,36.43,26.91,25.73,35.9,6.63,26.36,27.57,27.42,20.12,1.11,45.6,13.73,2.43,0,1,1,0,1,1,4,0
1789,神隆,3.08,0.41,43.52,4.09,4.23,2.08,2.71,2.31,44.08,43.77,40.67,42.73,46.36,17.98,16.11,12.12,11.12,10.09,12.01,12.57,7.49,9.15,8.81,0.44,24.5,64.4,1.8,0,1,1,0,1,1,4,0
1795,美時,7.58,2.59,46.1,0.82,1.62,8.79,12.51,14.17,47.94,48.83,46.3,42.84,44.59,51.05,48.29,56.78,55.73,47.84,1.01,1.93,7.39,9.6,11.09,0.54,157.5,0,0.34,0,1,1,0,0,0,2,-1
1802,台玻,6.39,1.08,17.92,4.49,2.12,-3.53,5.46,23.39,17.02,15.92,8.2,16.89,31.58,40.95,43.89,50.34,47.96,41.91,4.85,2.24,-3.85,5.87,21.82,0.64,18.3,30.09,3.5,0,1,0,0,1,1,3,0
1805,寶徠,-8.24,-0.61,14.47,-0.32,-13.97,-11.57,-9.72,-5.61,13.67,15.86,16.11,9.45,17.24,50.5,58.8,54.99,56.1,59.13,-0.93,-117.09,-57.4,-28.11,-18.16,0.1,11.1,16.43,0.9,0,0,0,0,1,1,2,-1
1806,冠軍,-1.45,-0.23,23.22,-1.29,-8.51,-6.89,-7.04,16.5,28.42,22.06,22.94,19.15,23.51,38.98,41.84,40.15,44.24,31.75,-1.87,-11.39,-8.99,-11.16,30.93,0.66,8.42,6.94,7.84,0,0,1,1,1,0,3,0
1808,潤隆,17.52,3.44,19.95,11.67,35.03,10.23,2.22,28.47,22.7,25.34,12.32,13.28,26.13,81.84,67.37,81.06,86.22,83.03,13.15,15.79,15.62,1.53,15.95,3.15,58.3,10.04,5.4,1,1,0,1,1,1,5,1
1809,中釉,-0.81,-0.09,19.01,0.42,-0.49,-2.12,-2.71,0.86,20.72,19.23,17.09,17.88,20.14,22.82,21.07,20.88,19.24,22.94,0.69,-0.77,-3.46,-5.17,1.33,0.21,11.95,14.19,1.76,0,0,0,0,1,1,2,-1
1810,和成,5.93,0.8,25.21,2.77,-1.36,0.64,1.36,26.23,26.95,23.85,25.13,24.59,25.55,47.92,48.62,47.71,44.58,35.84,2.8,-1.41,0.65,1.56,32.86,0.22,10,8.37,2.2,0,1,1,0,1,0,3,0
1817,凱撒衛,13.58,3.13,32.32,16.27,15.36,10.6,12.91,12.78,33.32,32.78,30.05,31.83,33.61,23.52,25.84,33.02,32.7,33.95,11.44,11.08,7.7,9.54,9.48,2.06,35.7,15.21,5.77,1,1,1,1,1,1,6,1
1903,士紙,-4.4,-0.44,33.51,-5.82,-6.06,-6.99,-4.57,1.42,27.62,21.43,30.82,33.55,54.14,56.46,59.46,61.75,54.63,31.99,-91.48,-76.33,-105.95,-85.08,25.84,0,51.6,5.85,0,0,0,1,0,1,0,2,-1
1904,正隆,12.44,2.74,22.08,6.3,17.6,9.44,14.3,14.54,17.7,20.7,22.84,26.49,22.68,62.93,59.74,56.93,56.09,57.25,3.31,9.93,5.81,9.34,8.92,1.34,26.45,12.32,5.07,1,1,1,1,1,1,6,1
1905,華紙,1.22,0.2,8.69,4.02,2.92,-1.7,-1.82,2.68,10.22,9.79,5.89,6.67,10.89,40.02,42.44,44.06,48.01,48.09,3.2,2.2,-1.46,-1.68,2.1,0.44,16.2,57.63,2.72,0,1,0,0,1,1,3,0
1906,寶隆,4.21,1.75,7.27,5.76,7.47,3.2,1.81,2.79,4.9,2.33,6.22,10.8,12.11,12.71,36.08,32.17,23.73,23.75,22.48,25.35,9.53,7.49,10.01,0.6,17.25,29.54,3.48,0,1,0,0,1,1,3,0
